ID do Item,Nome do Item,Categoria,Código QR,Data de Registro,Status
2,CAIXA ATIVA QSC K12,Categoria 109,7908782213843,16/12/2025,disponivel
4,CONTROLADORA PIONEER XZ,Categoria 109,000012,28/01/2026,disponivel
4,CONTROLADORA PIONEER XZ,Categoria 109,000011,28/01/2026,disponivel
4,CONTROLADORA PIONEER XZ,Categoria 109,000097,28/01/2026,disponivel
4,CONTROLADORA PIONEER XZ,Categoria 109,000096,28/01/2026,disponivel
105,"Refletor Halolexa redondo 0,50 cm",Categoria 212,000005,28/01/2026,disponivel
105,"Refletor Halolexa redondo 0,50 cm",Categoria 212,000004,28/01/2026,disponivel
105,"Refletor Halolexa redondo 0,50 cm",Categoria 212,000003,28/01/2026,disponivel
105,"Refletor Halolexa redondo 0,50 cm",Categoria 212,000006,28/01/2026,disponivel
106,Refletor Portman P1,Categoria 212,000010,16/12/2025,disponivel
106,Refletor Portman P1,Categoria 212,000007,28/01/2026,disponivel
106,Refletor Portman P1,Categoria 212,000008,28/01/2026,disponivel
106,Refletor Portman P1,Categoria 212,000009,28/01/2026,disponivel
109,Ribalta P5,Categoria 212,000560,28/01/2026,disponivel
109,Ribalta P5,Categoria 212,000559,28/01/2026,disponivel
109,Ribalta P5,Categoria 212,000561,28/01/2026,disponivel
109,Ribalta P5,Categoria 212,000562,28/01/2026,disponivel
142,"Mesa de Apoio DJ - 1,80 x 0,68 x 0,94 (+ capa + 4 pes extensor) - Preta",Categoria 109,000582,16/12/2025,disponivel
142,"Mesa de Apoio DJ - 1,80 x 0,68 x 0,94 (+ capa + 4 pes extensor) - Preta",Categoria 109,000584,16/12/2025,disponivel
142,"Mesa de Apoio DJ - 1,80 x 0,68 x 0,94 (+ capa + 4 pes extensor) - Preta",Categoria 109,000581,16/12/2025,disponivel
142,"Mesa de Apoio DJ - 1,80 x 0,68 x 0,94 (+ capa + 4 pes extensor) - Preta",Categoria 109,000585,16/12/2025,disponivel
309,Caixa Organizadora com Tampa - 15 LT ,Categoria 251,000226,15/12/2025,disponivel
309,Caixa Organizadora com Tampa - 15 LT ,Categoria 251,000232,15/12/2025,disponivel
309,Caixa Organizadora com Tampa - 15 LT ,Categoria 251,000224,15/12/2025,disponivel
309,Caixa Organizadora com Tampa - 15 LT ,Categoria 251,000225,15/12/2025,disponivel
309,Caixa Organizadora com Tampa - 15 LT ,Categoria 251,000228,15/12/2025,disponivel
309,Caixa Organizadora com Tampa - 15 LT ,Categoria 251,000233,15/12/2025,disponivel
333,Item não encontrado,N/A,041333666815,16/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000427,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000418,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000301,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000423,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000350,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000420,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000352,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000424,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000303,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000428,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000353,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000349,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000355,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000351,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000425,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000304,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000426,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000338,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000419,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000421,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000337,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000422,15/12/2025,disponivel
380,"Box Truss Q20 - 1,00 Metro",Categoria 252,000354,15/12/2025,disponivel
452,CONECTOR XLR FEMÊA ,Categoria 260,7908642000316,16/12/2025,disponivel
452,CONECTOR XLR FEMÊA ,Categoria 260,6906116791877,16/12/2025,disponivel
459,ESPELHO PARORÂMICO,Categoria 260,000093,28/01/2026,disponivel
459,ESPELHO PARORÂMICO,Categoria 260,000094,28/01/2026,disponivel
459,ESPELHO PARORÂMICO,Categoria 260,000146,28/01/2026,disponivel
459,ESPELHO PARORÂMICO,Categoria 260,000150,28/01/2026,disponivel
460,ESPELHO PARORÂMICO,Categoria 260,000147,28/01/2026,disponivel
460,ESPELHO PARORÂMICO,Categoria 260,000144,28/01/2026,disponivel
460,ESPELHO PARORÂMICO,Categoria 260,000092,28/01/2026,disponivel
460,ESPELHO PARORÂMICO,Categoria 260,000095,28/01/2026,disponivel
