================================================================
LISTA DE MATERIAIS FILTRADA (SEM ITENS COM QR ÚNICO)
Instrução: Deixe apenas os itens que serão GRANEL/LOTE.
================================================================


[174] GRAMPEADOR ROCAMA + GRAMPO | EQUIPAMENTOS E ACESSORIOS
[453] GRAPA CALVANIZADA 60CM | LOGISTICA
[175] GUARDA CORPO ANDAIME | EQUIPAMENTOS E ACESSORIOS
[403] HQI 20WTS | ILUMINAÇÃO
[61] HQI LED 150w + Gelatina | ILUMINAÇÃO
[62] HQI LED 200w + Gelatina | ILUMINAÇÃO
[63] HQI LED 50w + Gelatina (Refletor) | ILUMINAÇÃO
[425] LIMPA CONTATO TEK BOND 300ML | LOGISTICA
[66] Líquido de Fumaça - 5 litros | ILUMINAÇÃO
[385] LIQUÍDO FUMAÇA | INSUMOS
[422] Liquido Radiador - Ac DElco | LOGISTICA
[255] LONA BRANCA | ESTRUTURA
[408] LUVA | EQUIPAMENTOS E ACESSORIOS
[257] Lycra Preta | ESTRUTURA
[176] MOSQUETÃO | EQUIPAMENTOS E ACESSORIOS
[295] Multicabo enxergo 3 vias 20m | SONORIZAÇÃO
[426] MULTÍMETRO DIGITAL MD-200L | LOGISTICA
[435] NEOM FLEX | ILUMINAÇÃO
[409] OCULOS DE PROTEÇAO | EQUIPAMENTOS E ACESSORIOS
[178] OLHAL M10 CURTO | EQUIPAMENTOS E ACESSORIOS
[179] OLHAL M10 FÊMEA | EQUIPAMENTOS E ACESSORIOS
[177] OLHAL M8 LONGO | EQUIPAMENTOS E ACESSORIOS
[350] P 10 X RCA | SONORIZAÇÃO
[157] P10 | XLR Fêmea - Stereo | CABEAMENTO
[156] P10 | Xlr macho - Stereo | CABEAMENTO
[338] P10 X P10 MONO | CABEAMENTO
[351] P2 X P10 | CABEAMENTO
[182] PANO PRETO | EQUIPAMENTOS E ACESSORIOS
[383] Parafusos Box Q20 | ESTRUTURA
[135] Paralelo 2,5mm | CABEAMENTO
[424] PASTA PARA SOLDA -COBIX 110G | LOGISTICA
[114] PC I7 Ultra - Placa Video Quatro 3 out + 1 Monitor | VIDEO
[392] PILHA AA DURACEL | INSUMOS
[450] PINO FEMEA PIAL | LOGISTICA
[449] PINO PRETO MACHO PIAL | LOGISTICA
[317] Pino T | EQUIPAMENTOS E ACESSORIOS
[186] PISO ANDAIME | EQUIPAMENTOS E ACESSORIOS
[299] Pix Escola Desafio | SONORIZAÇÃO
[287] power con 0,50 cm - Jump - (Painel de LED) | CABEAMENTO
[288] power con 1 metro - Jump - (painel de LED) | CABEAMENTO
[155] Power con 1m - Pial macho | CABEAMENTO
[311] power con 3m - Pial macho | CABEAMENTO
[312] Power con Paralelo + plug tomada  macho + plug tomada femea | CABEAMENTO
[467] Power Play 8 Saidas - | SONORIZAÇÃO
[284] power-con 10m pial macho | CABEAMENTO
[345] RCA X P10 | SONORIZAÇÃO
[344] Rca x P2 | SONORIZAÇÃO
[349] RCA X RCA | SONORIZAÇÃO
[371] RCA X RCA | CABEAMENTO
[346] RCA XLR FEMEA | SONORIZAÇÃO
[197] Regua 4 tomada | pial macho | CABEAMENTO
[331] Regua Buffer dmx de 4 tom | CABEAMENTO
[330] Regua Buffer dmx de 8 tom | CABEAMENTO
[320] regua de 4 tomada + plug macho + 3mt | CABEAMENTO
[319] regua de 8 tomada  femea + 1 plug pial | CABEAMENTO
[469] Regua Distribuidora Power Con - 6  vias  Cinza | CABEAMENTO
[441] REGUA POWER COM 6 TOMADAS | CABEAMENTO
[198] Règua power con | CABEAMENTO
[332] regua power de 5 tomada | CABEAMENTO
[356] RJ 45 ( 1 SAIDA XLR FEMEA E MACHO ) | CABEAMENTO
[358] RJ 45 ( 4 ENTRADA XLR MACHO ) | CABEAMENTO
[357] RJ 45 ( 4 SAIDAS XLR FEMEA ) | CABEAMENTO
[355] RJ 45 XLR FEMEA | CABEAMENTO
[354] RJ 45 XLR MACHO | CABEAMENTO
[463] RMX 1000 - Pioneer | SONORIZAÇÃO
[193] ROLDANA | EQUIPAMENTOS E ACESSORIOS
[418] ROTEADOR WI - FI AX1500 | VIDEO
[195] SARGENTO GRANDE | EQUIPAMENTOS E ACESSORIOS
[196] SARGENTO PEQUENO | EQUIPAMENTOS E ACESSORIOS
[203] Solteiras | EQUIPAMENTOS E ACESSORIOS
[307] SUB SNACK 12 VIAS - COMBO - 20M - 8 X 4 | CABEAMENTO
[187] SUB SNACK 8 VIAS - COMBO - 10M - 5 X 3 | CABEAMENTO
[420] SUB SNAKE 12 VIA | CABEAMENTO
[430] SUGADOR DE SOLDA | LOGISTICA
[302] Tina de Cabos Preta | EQUIPAMENTOS E ACESSORIOS
[432] TOMADA FÊMEA 10A | LOGISTICA
[433] TOMADA PIAL 4TOM | INSUMOS
[440] Vara Cenica 1,50 | ESTRUTURA
[136] Vara Cênica 3 Metros | ILUMINAÇÃO
[339] XLR FEMEA X FEMEA | CABEAMENTO
[341] XLR FEMEA Y  2SAIDA MACHO XLR | CABEAMENTO
[348] XLR FEMEA Y XLR MACHO | SONORIZAÇÃO
[340] XLR MACHO X MACHO | CABEAMENTO
[347] XLR MACHO X RCA | SONORIZAÇÃO
[343] Xlr Macho Y  2 saidas P10 | SONORIZAÇÃO
[342] XLR MACHO Y PARA FONE L.R  ESTEREO | CABEAMENTO
[352] XLR Y FEMEA - 2 MACHO | CABEAMENTO
[416] XLR. P10 MACHO MONO | CABEAMENTO
[353] XRL FEMEA X P 10 | CABEAMENTO
